Number,Arrival time,X1,X2,X3,,,,,
634,11:37,12,13,25,,,,,
635,11:38,10,14,24,,,,,
636,11:43,10,12,22,,,,,
637,11:43,8,11,19,,,,,
638,11:43,11,13,24,,,,,
639,11:49,9,11,19,,,,,
640,11:49,12,13,26,,,,,
641,11:49,11,13,23,,,,,
642,11:49,9,10,20,,,,,
643,11:49,9,14,23,,,,,
644,11:50,7,11,18,,,,,
645,11:50,9,11,20,,,,,
646,11:53,7,10,18,,,,,
647,11:54,12,14,25,,,,,
648,11:57,8,13,20,,,,,
649,11:58,11,11,22,,,,,
650,11:58,12,12,24,,,,,
651,11:59,11,13,24,,,,,
652,11:59,10,13,23,,,,,
653,11:59,10,12,22,,,,,
654,11:59,10,10,20,,,,,
655,12:01,10,14,24,,,,,
656,12:01,9,12,21,,,,,
657,12:02,7,11,19,,,,,
658,12:02,10,13,23,,,,,
659,12:03,9,10,19,,,,,
660,12:03,13,11,24,,,,,
661,12:03,7,12,20,,,,,
662,12:04,13,11,24,,,,,
663,12:04,8,11,20,,,,,
664,12:05,12,12,25,,,,,
665,12:05,11,13,25,,,,,
666,12:05,7,11,19,,,,,
667,12:05,10,10,20,,,,,
668,12:06,13,12,25,,,,,
669,12:06,10,12,22,,,,,
670,12:07,12,14,26,,,,,
671,12:07,11,14,24,,,,,
672,12:07,9,12,21,,,,,
673,12:07,11,12,23,,,,,
674,12:08,9,11,20,,,,,
675,12:08,9,14,22,,,,,
676,12:09,8,14,21,,,,,
677,12:10,7,12,19,,,,,
678,12:10,7,12,20,,,,,
679,12:11,13,13,25,,,,,
680,12:12,9,12,21,,,,,
681,12:15,10,13,23,,,,,
682,12:16,9,11,20,,,,,
683,12:17,10,12,22,,,,,
684,12:17,11,13,24,,,,,
685,12:17,13,14,26,,,,,
686,12:18,12,13,25,,,,,
687,12:19,12,13,25,,,,,
688,12:19,13,10,23,,,,,
689,12:19,9,13,21,,,,,
690,12:19,13,14,26,,,,,
691,12:20,13,14,27,,,,,
692,12:20,10,11,21,,,,,
693,12:21,11,11,22,,,,,
694,12:21,13,10,23,,,,,
695,12:22,7,12,20,,,,,
696,12:23,10,12,22,,,,,
697,12:23,11,11,22,,,,,
698,12:23,9,11,20,,,,,
699,12:23,9,12,21,,,,,
700,12:23,8,12,20,,,,,
701,12:24,12,12,25,,,,,
702,12:25,12,11,24,,,,,
703,12:25,11,10,22,,,,,
704,12:26,7,12,19,,,,,
705,12:27,13,10,23,,,,,
706,12:29,7,12,19,,,,,
707,12:31,8,11,19,,,,,
708,12:32,13,14,27,,,,,
709,12:32,11,13,24,,,,,
710,12:32,10,12,22,,,,,
711,12:33,7,13,20,,,,,
712,12:33,12,11,23,,,,,
713,12:34,12,11,24,,,,,
714,12:35,9,14,22,,,,,
715,12:35,12,11,23,,,,,
716,12:35,12,12,25,,,,,
717,12:35,8,13,21,,,,,
718,12:35,12,12,25,,,,,
719,12:35,13,11,24,,,,,
720,12:36,10,11,21,,,,,
721,12:36,11,13,23,,,,,
722,12:36,10,11,21,,,,,
723,12:37,9,12,20,,,,,
724,12:37,9,11,20,,,,,
725,12:37,8,12,20,,,,,
726,12:38,12,12,23,,,,,
727,12:38,7,11,18,,,,,
728,12:38,8,13,21,,,,,
729,12:39,10,14,23,,,,,
